"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 마포구청",양화로 72,서교동 395-43,주정차단속,1,200,360도전방면,30,2005-07,02-3153-8432,37.550747,126.916711,2020-05-20
"서울특별시 마포구청",양화로 72,서교동 395-43,주정차단속,1,200,360도전방면,30,2005-07,02-3153-8432,37.550747,126.916711,2020-05-20
"서울특별시 마포구청",환일길 27,아현동 723-12,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.555943,126.960721,2020-05-20
"서울특별시 마포구청",신촌로32길 4,아현동 346-21,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.556924,126.953211,2020-05-20
"서울특별시 마포구청",숭문16길 38,아현동 680,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.555704,126.948499,2020-05-20
"서울특별시 마포구청",대흥로30길 45,아현동 676,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.556418,126.948483,2020-05-20
"서울특별시 마포구청",만리재옛길 41,공덕동 120-38,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.547590,126.956447,2020-05-20
"서울특별시 마포구청",백범로37길,신공덕동 38-2,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.543291,126.954715,2020-05-20
"서울특별시 마포구청",마포대로11길 118,염리동 128-7,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.548980,126.947556,2020-05-20
"서울특별시 마포구청",숭문16나길 14,염리동 10-5,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.555139,126.948236,2020-05-20
"서울특별시 마포구청",새창로6길 24,도화동 1-110,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.541005,126.952579,2020-05-20
"서울특별시 마포구청",대흥로8길 27,대흥동 764-4,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.543759,126.940087,2020-05-20
"서울특별시 마포구청",고산16길 15,대흥동 18-47,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.553723,126.944623,2020-05-20
"서울특별시 마포구청",고산길 70,노고산동 12-34,방범(어린이보호구역),1,200,360도전방면,30,2006-09,02-3153-8432,37.554506,126.940852,2020-05-20
"서울특별시 마포구청",신촌로22길 9,노고산동 19-40,방범(어린이보호구역),1,200,360도전방면,30,2006-09,02-3153-8432,37.555753,126.940341,2020-05-20
"서울특별시 마포구청",와우산로24길 38,창전동 6-100,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.552029,126.926730,2020-05-20
"서울특별시 마포구청",토정로16길 48,현석동 156,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.542323,126.933004,2020-05-20
"서울특별시 마포구청",양화로18길 9,동교동 166-11,방범,1,200,360도전방면,30,2006-09,02-3153-8432,37.556659,126.924626,2020-05-20
